rowkey,source_date,location,radius,confidence,mode,satellite,kecamatan,kabupaten,provinsi,created_at,original_id
f4d74f26-a876-4f53-9463-2fc253bb5f9b,2021-04-18 16:35:09,0101000020E61000006FCD04608F295E400FD02280405624C0,1125,8,cluster,snpp,Pahungalodu,Sumba Timur,Nusa Tenggara Timur,2021-04-18 19:42:15.843054,3295199
83ea96dc-6999-45d3-a000-31054039baee,2021-04-18 16:35:09,0101000020E61000000ACA0260DBE85E40D43E250062CB23C0,1125,8,cluster,snpp,Fatuleu Barat,Kupang,Nusa Tenggara Timur,2021-04-18 19:42:15.843054,3295198
5e384a1e-75fe-4a6f-801f-5e91f2441ae4,2021-04-18 16:35:09,0101000020E6100000BE70006009DC5F40968B00C0145AF7BF,1280,8,cluster,snpp,Obi,Halmahera Selatan,Maluku Utara,2021-04-18 19:42:15.843054,3295201
f1eb945a-defb-4c1b-8eb5-948f427251aa,2021-04-18 16:35:09,0101000020E610000074770038040060409A4CCBFE2FCDDE3F,1280,8,cluster,snpp,Weda Tengah,Halmahera Tengah,Maluku Utara,2021-04-18 19:42:15.843054,3295200
b2ba604c-7e63-441e-8212-3a5eeee3f9bb,2021-04-18 16:35:09,0101000020E61000006FCD04608F295E400FD02280405624C0,1125,8,pixel,snpp,Pahungalodu,Sumba Timur,Nusa Tenggara Timur,2021-04-18 19:42:16.11441,276653
28638937-e71b-4784-8198-b6e60aa4c699,2021-04-18 16:35:09,0101000020E61000000ACA0260DBE85E40D43E250062CB23C0,1125,8,pixel,snpp,Fatuleu Barat,Kupang,Nusa Tenggara Timur,2021-04-18 19:42:16.11441,276652
dfbfb32d-d5b7-46d2-9fa1-cdb6bd92a9fb,2021-04-18 16:35:09,0101000020E6100000030BFD9F05DC5F407C129680B161F7BF,1125,8,pixel,snpp,Obi,Halmahera Selatan,Maluku Utara,2021-04-18 19:42:16.11441,276656
90fcfc55-f98b-45cc-89e4-91fbdcfdcd0d,2021-04-18 16:35:09,0101000020E610000079D603200DDC5F40B1046BFF7752F7BF,1125,8,pixel,snpp,Obi,Halmahera Selatan,Maluku Utara,2021-04-18 19:42:16.11441,276657
a147b351-b7df-4c57-b83e-bb7097b875d2,2021-04-18 16:35:09,0101000020E6100000110701E015006040EC90B47EA7C7DE3F,1125,8,pixel,snpp,Weda Tengah,Halmahera Tengah,Maluku Utara,2021-04-18 19:42:16.11441,276654
493a2881-0e33-4204-9f28-3ab26ccefacd,2021-04-18 16:35:09,0101000020E6100000AECFFF1FE5FF5F404808E27EB8D2DE3F,1125,8,pixel,snpp,Weda Tengah,Halmahera Tengah,Maluku Utara,2021-04-18 19:42:16.11441,276655
8735eeac-8882-4c4b-8326-c6becab5b7ab,2021-04-18 18:17:35,0101000020E6100000A6ED04A0B6B75940D0C873BF3B60F9BF,1125,8,cluster,snpp,Mersam,Batanghari,Jambi,2021-04-18 20:42:15.963286,3295209
077e3a73-88de-4648-b3ef-928620f4cec2,2021-04-18 18:17:35,0101000020E610000047270120DDD75940B7C824C03C06F3BF,1125,8,cluster,snpp,Tungkalilir,Tanjung Jabung Barat,Jambi,2021-04-18 20:42:15.963286,3295208
22ea8414-fdbb-4e36-a16f-549a96745110,2021-04-18 18:17:35,0101000020E6100000CF3805E0FCD6594030629F008AD1F2BF,1125,8,cluster,snpp,Tungkalilir,Tanjung Jabung Barat,Jambi,2021-04-18 20:42:15.963286,3295207
d3f9a23a-cdfd-44bb-9ced-f5c2188b9d3d,2021-04-18 18:17:35,0101000020E610000042500340F4515A40B170ED9F020B06C0,1125,8,cluster,snpp,Pampangan,Ogan Komering Ilir,Sumatera Selatan,2021-04-18 20:42:15.963286,3295210
e16ceb24-c78d-485d-bd3e-127fe42bcba5,2021-04-18 18:17:35,0101000020E6100000A79201A08A6E5A403E094BC0D81413C0,1125,8,cluster,snpp,Sukadana,Lampung Timur,Lampung,2021-04-18 20:42:15.963286,3295202
1f4d9161-820d-4873-bd90-6bef92ecbf27,2021-04-18 18:17:35,0101000020E61000005009FC9F0BAB5A4061BD1780C26418C0,1125,8,cluster,snpp,Kosambi,Tangerang,Banten,2021-04-18 20:42:15.963286,3295203
5d018e74-c5a0-4697-a404-f6da6f6d52e6,2021-04-18 18:17:35,0101000020E610000054FC0020BED45A40BE85B7FFAFDF18C0,1125,8,cluster,snpp,Rengasdengklok,Karawang,Jawa Barat,2021-04-18 20:42:15.963286,3295204
d3894e30-2993-4932-bd36-7d23fb923397,2021-04-18 18:17:35,0101000020E61000000923A6AA659C5B40A1B429B51A2E1EC0,1399,8,cluster,snpp,Pakem,Sleman,Di Yogyakarta,2021-04-18 20:42:15.963286,3295205
a70f4ee4-af03-42f7-bedd-ada5b44f9100,2021-04-18 18:17:35,0101000020E6100000FD33FFBFDC2059405495328022DCFF3F,1125,8,cluster,snpp,Bagan Sinembah,Rokan Hilir,Riau,2021-04-18 20:42:15.963286,3295206
43bade66-d705-4366-bc8f-a91ca8de1e14,2021-04-18 18:17:35,0101000020E6100000A6ED04A0B6B75940D0C873BF3B60F9BF,1125,8,pixel,snpp,Mersam,Batanghari,Jambi,2021-04-18 20:42:16.217529,276667
f1377758-2b4f-4f65-bc7f-b933d02b8572,2021-04-18 18:17:35,0101000020E610000047270120DDD75940B7C824C03C06F3BF,1125,8,pixel,snpp,Tungkalilir,Tanjung Jabung Barat,Jambi,2021-04-18 20:42:16.217529,276666
45e63f19-6895-481c-a1d4-8b7122d61b6a,2021-04-18 18:17:35,0101000020E6100000CF3805E0FCD6594030629F008AD1F2BF,1125,8,pixel,snpp,Tungkalilir,Tanjung Jabung Barat,Jambi,2021-04-18 20:42:16.217529,276665
ee11afd5-4992-41e7-92b0-983e59bc140b,2021-04-18 18:17:35,0101000020E610000042500340F4515A40B170ED9F020B06C0,1125,8,pixel,snpp,Pampangan,Ogan Komering Ilir,Sumatera Selatan,2021-04-18 20:42:16.217529,276668
4834dbff-7a77-4b3a-a107-0af883a1081b,2021-04-18 18:17:35,0101000020E6100000A79201A08A6E5A403E094BC0D81413C0,1125,8,pixel,snpp,Sukadana,Lampung Timur,Lampung,2021-04-18 20:42:16.217529,276658
c9ca43c3-6dc7-427b-b8d4-a08079776ce2,2021-04-18 18:17:35,0101000020E61000005009FC9F0BAB5A4061BD1780C26418C0,1125,8,pixel,snpp,Kosambi,Tangerang,Banten,2021-04-18 20:42:16.217529,276659
f55aee7f-3beb-4609-abca-e57540b94c02,2021-04-18 18:17:35,0101000020E610000054FC0020BED45A40BE85B7FFAFDF18C0,1125,8,pixel,snpp,Rengasdengklok,Karawang,Jawa Barat,2021-04-18 20:42:16.217529,276660
7b845b62-6e1b-48a8-a559-3362956c6500,2021-04-18 18:17:35,0101000020E61000007788FB9F2E9C5B400961C13F9D2D1EC0,1125,8,pixel,snpp,Srumbung,Magelang,Jawa Tengah,2021-04-18 20:42:16.217529,276661
86b858c7-39bc-47dc-92e4-436ddc14f565,2021-04-18 18:17:35,0101000020E61000009CA1FAFF9F9C5B4073810D809F2E1EC0,1125,8,pixel,snpp,Pakem,Sleman,Di Yogyakarta,2021-04-18 20:42:16.217529,276663
b639d0a4-5df5-43fb-b1d7-f6f84dda5ffb,2021-04-18 18:17:35,0101000020E6100000003FFC5F629C5B40673BAE5F132E1EC0,1125,8,pixel,snpp,Pakem,Sleman,Di Yogyakarta,2021-04-18 20:42:16.217529,276662
7b7df677-037f-4261-803a-14f571f43100,2021-04-18 18:17:35,0101000020E6100000FD33FFBFDC2059405495328022DCFF3F,1125,8,pixel,snpp,Bagan Sinembah,Rokan Hilir,Riau,2021-04-18 20:42:16.217529,276664
5635a278-fc95-4668-a33b-b2326da58d4f,2021-04-19 02:57:00,0101000020E61000000000006084AC5B4001000060349A04C0,3000,8,cluster,terra,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 05:42:17.109226,3295211
454883e7-3b5f-4a4e-abe3-08dd1a89260a,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF035E5A40010000A05FC607C0,3000,8,cluster,terra,Tulung Selapan,Ogan Komering Ilir,Sumatera Selatan,2021-04-19 05:42:17.109226,3295212
a8dce8de-694f-4e84-94b5-be680ddff724,2021-04-19 02:57:00,0101000020E61000000300004080A35A40000000803CF31BC0,3000,7,cluster,terra,Pelabuhan Ratu,Sukabumi,Jawa Barat,2021-04-19 05:42:17.109226,3295219
fca8e816-1818-4209-aad7-2a0dda20bf63,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF4DEF5A4000000060CC041CC0,3000,8,cluster,terra,Solokan Jeruk,Bandung,Jawa Barat,2021-04-19 05:42:17.109226,3295218
51370786-f1b3-464c-8bb5-4231c2f458b4,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF5F955B40010000A09C2D1CC0,3000,8,cluster,terra,Mijen,Semarang,Jawa Tengah,2021-04-19 05:42:17.109226,3295214
f4752dd9-b864-42a6-b682-69944487e2d5,2021-04-19 02:57:00,0101000020E6100000030000A0901A5C40000000206F781CC0,3000,8,cluster,terra,Lamongan,Lamongan,Jawa Timur,2021-04-19 05:42:17.109226,3295213
a37b93cc-5faf-4ed7-b745-33340eb64d0e,2021-04-19 02:57:00,0101000020E6100000FDFFFFBFE5265C400000002019431EC0,3000,8,cluster,terra,Ngoro,Mojokerto,Jawa Timur,2021-04-19 05:42:17.109226,3295217
3a92cec7-862b-4e0f-a3e4-bd95d5e7d85d,2021-04-19 02:57:00,0101000020E6100000FFFFFFDF32305C40000000E0C2911DC0,3000,8,cluster,terra,Gedangan,Sidoarjo,Jawa Timur,2021-04-19 05:42:17.109226,3295215
c071afcf-8466-4208-8a7a-25b423547805,2021-04-19 02:57:00,0101000020E6100000FEFFFF1F6C9B5B40000000E09CE51CC0,3414,8,cluster,terra,Bawen,Semarang,Jawa Tengah,2021-04-19 05:42:17.109226,3295216
faff5ce3-c0e2-4117-b421-6a1b7cc729cc,2021-04-19 02:57:00,0101000020E61000000000006084AC5B4001000060349A04C0,3000,8,pixel,terra,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 05:42:17.402627,276669
68fc999a-7264-4d3e-ab4f-4c06b0d76493,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF035E5A40010000A05FC607C0,3000,8,pixel,terra,Tulung Selapan,Ogan Komering Ilir,Sumatera Selatan,2021-04-19 05:42:17.402627,276670
94648875-beb5-43a4-aead-edd5ac323330,2021-04-19 02:57:00,0101000020E61000000300004080A35A40000000803CF31BC0,3000,7,pixel,terra,Pelabuhan Ratu,Sukabumi,Jawa Barat,2021-04-19 05:42:17.402627,276678
51852e19-12fe-4b06-a2ab-eadbc2856df2,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF4DEF5A4000000060CC041CC0,3000,8,pixel,terra,Solokan Jeruk,Bandung,Jawa Barat,2021-04-19 05:42:17.402627,276677
eca072e4-62a3-4b35-aeba-5887d31e6c41,2021-04-19 02:57:00,0101000020E6100000FDFFFFBF5F955B40010000A09C2D1CC0,3000,8,pixel,terra,Mijen,Semarang,Jawa Tengah,2021-04-19 05:42:17.402627,276672
89fde677-3312-48e7-b720-b58f355d5f5a,2021-04-19 02:57:00,0101000020E6100000030000A0901A5C40000000206F781CC0,3000,8,pixel,terra,Lamongan,Lamongan,Jawa Timur,2021-04-19 05:42:17.402627,276671
18078d75-ba33-48a1-a299-7ad510b89338,2021-04-19 02:57:00,0101000020E6100000FDFFFFBFE5265C400000002019431EC0,3000,8,pixel,terra,Ngoro,Mojokerto,Jawa Timur,2021-04-19 05:42:17.402627,276676
5454ecf8-4fc1-44cf-8a8b-66b276da1393,2021-04-19 02:57:00,0101000020E6100000FFFFFFDF32305C40000000E0C2911DC0,3000,8,pixel,terra,Gedangan,Sidoarjo,Jawa Timur,2021-04-19 05:42:17.402627,276673
ef069a6c-dc8a-4e1f-a26c-1deb4a8fa20b,2021-04-19 02:57:00,0101000020E6100000FEFFFF7F229B5B4000000080F0E41CC0,3000,8,pixel,terra,Bawen,Semarang,Jawa Tengah,2021-04-19 05:42:17.402627,276675
21d5b543-9284-4124-a1e3-59250b80a61f,2021-04-19 02:57:00,0101000020E6100000FDFFFFBFB59B5B400000004049E61CC0,3000,8,pixel,terra,Bawen,Semarang,Jawa Tengah,2021-04-19 05:42:17.402627,276674
0e84c7a4-0561-480e-bb53-6408ea0b92f2,2021-04-19 05:11:56,0101000020E61000007FECFD5F58475D408850002082D720C0,1125,7,cluster,snpp,Utan,Sumbawa,Nusa Tenggara Barat,2021-04-19 06:42:17.066017,3295226
775a8a64-da56-4608-bb03-f5490c5a919d,2021-04-19 05:11:56,0101000020E6100000F05EFFBFFBAA5D40736D24E042F020C0,1125,7,cluster,snpp,Donggo,Bima,Nusa Tenggara Barat,2021-04-19 06:42:17.066017,3295225
81360459-62b2-4b13-95e5-e7c2f8c097a4,2021-04-19 05:11:56,0101000020E6100000D0B6FD9FE1105E406282F9AF9CCE23C0,1280,8,cluster,snpp,Paberiwai,Sumba Timur,Nusa Tenggara Timur,2021-04-19 06:42:17.066017,3295224
ecf77892-8685-4f37-aed3-36306d17ea28,2021-04-19 05:11:56,0101000020E6100000BACBCC6CDAFD5D40AEE8A179AA3612C0,1588,8,cluster,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.066017,3295221
ef03544e-5769-4ff3-ac60-ec183f0df8c8,2021-04-19 05:11:56,0101000020E61000003CF7FD1F70E85C40BDE8A70F8FFA0CC0,1280,8,cluster,snpp,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 06:42:17.066017,3295223
ff16bfb7-e268-4d52-a6f9-c235faa62203,2021-04-19 05:11:56,0101000020E61000008E27FEFFEA035E401FD67EDF7D9509C0,1125,8,cluster,snpp,Basse Sangtempe,Luwu,Sulawesi Selatan,2021-04-19 06:42:17.066017,3295222
6b212b73-dfb1-4848-b8fe-0980c1916f00,2021-04-19 05:11:56,0101000020E6100000CF3805E0BC455C408389DC5F7F0AF5BF,1125,8,cluster,snpp,Sanaman Mantikei,Katingan,Kalimantan Tengah,2021-04-19 06:42:17.066017,3295220
a96badfa-e667-41c5-aba1-2cd9d407d6ac,2021-04-19 05:11:56,0101000020E61000007FECFD5F58475D408850002082D720C0,1125,7,pixel,snpp,Utan,Sumbawa,Nusa Tenggara Barat,2021-04-19 06:42:17.360812,276691
f1d42266-0018-4d8d-b8c5-ad9317b0fcb5,2021-04-19 05:11:56,0101000020E6100000F05EFFBFFBAA5D40736D24E042F020C0,1125,7,pixel,snpp,Donggo,Bima,Nusa Tenggara Barat,2021-04-19 06:42:17.360812,276690
3219e3d6-c81a-47cd-bced-cf025932e644,2021-04-19 05:11:56,0101000020E61000004FA3FBFFD9105E405DB3E8DF26CE23C0,1125,8,pixel,snpp,Paberiwai,Sumba Timur,Nusa Tenggara Timur,2021-04-19 06:42:17.360812,276689
e1e61927-3862-436a-b588-a15ecb17c3a7,2021-04-19 05:11:56,0101000020E610000050CAFF3FE9105E4068510A8012CF23C0,1125,8,pixel,snpp,Paberiwai,Sumba Timur,Nusa Tenggara Timur,2021-04-19 06:42:17.360812,276688
d2c8827d-766c-4d12-8537-c2d17bda83a3,2021-04-19 05:11:56,0101000020E6100000EBC6FD3FF5FD5D40D9D7F47F923712C0,1125,8,pixel,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.360812,276682
2909a568-f633-43fc-8822-1aac136a1d6e,2021-04-19 05:11:56,0101000020E61000002BB100E0B7FD5D4099993EE0263812C0,1125,8,pixel,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.360812,276683
974c364a-e4f3-4513-bf31-b84cc9f4e1a1,2021-04-19 05:11:56,0101000020E6100000C9A00360B6FD5D40DA4036A0103712C0,1125,8,pixel,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.360812,276680
b9eb0069-0172-477d-802c-b0bb7a266a78,2021-04-19 05:11:56,0101000020E6100000A7D1FDFFECFD5D40428CBE1F0A3412C0,1125,8,pixel,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.360812,276684
5b955801-8908-4dcb-acdc-b7e06a7b3a56,2021-04-19 05:11:56,0101000020E61000001B1000A0F3FD5D40DC4C0140803612C0,1125,8,pixel,snpp,Lamuru,Bone,Sulawesi Selatan,2021-04-19 06:42:17.360812,276681
87b2fd59-76da-4bb7-b87f-f7e9cf9bbcec,2021-04-19 05:11:56,0101000020E6100000FCCDFE1F6BE85C4014E5773F13F60CC0,1125,8,pixel,snpp,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 06:42:17.360812,276686
d5d5a6a4-a8d3-4a90-b1b2-1d6a873358e6,2021-04-19 05:11:56,0101000020E61000007D20FD1F75E85C4066ECD7DF0AFF0CC0,1125,8,pixel,snpp,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 06:42:17.360812,276687
bbbbffdd-c677-4c0e-9bf5-5b95a12f12ed,2021-04-19 05:11:56,0101000020E61000008E27FEFFEA035E401FD67EDF7D9509C0,1125,8,pixel,snpp,Basse Sangtempe,Luwu,Sulawesi Selatan,2021-04-19 06:42:17.360812,276685
acdd1247-5ac9-40cf-951b-c6025ffeb812,2021-04-19 05:11:56,0101000020E6100000CF3805E0BC455C408389DC5F7F0AF5BF,1125,8,pixel,snpp,Sanaman Mantikei,Katingan,Kalimantan Tengah,2021-04-19 06:42:17.360812,276679
f0e11ab0-2df8-43cd-a840-e4f1dca2f83c,2021-04-19 06:57:10,0101000020E610000078AFFFDF7DE85A4053035120814909C0,1125,8,cluster,snpp,Membalong,Belitung,Kep. Bangka Belitung,2021-04-19 09:42:17.34245,3295228
2910bc73-ead7-4e00-b77f-e809bde736d0,2021-04-19 06:57:10,0101000020E610000017DEFEBF9E7C5A40200237207C4F05C0,1125,8,cluster,snpp,Simpang Rimba,Bangka Selatan,Kep. Bangka Belitung,2021-04-19 09:42:17.34245,3295230
1fee260c-6cdd-4b75-89ca-f1e6c7cc775e,2021-04-19 06:57:10,0101000020E61000006D4000800E7E5A40D85C3D405AC801C0,1125,8,cluster,snpp,Mendo Barat,Bangka,Kep. Bangka Belitung,2021-04-19 09:42:17.34245,3295231
bae040da-ad22-4321-89b2-8fba892903dc,2021-04-19 06:57:10,0101000020E61000007172016023915A408921DEDF45EC05C0,1125,8,cluster,snpp,Air Gegas,Bangka Selatan,Kep. Bangka Belitung,2021-04-19 09:42:17.34245,3295229
2de59f5f-778d-49cf-9eb7-5fd81f78d149,2021-04-19 06:57:10,0101000020E61000002D56FDDF8B265A40F53C4DA067B311C0,1125,8,cluster,snpp,Blambangan Umpu,Way Kanan,Lampung,2021-04-19 09:42:17.34245,3295227
ece0d74c-dabe-4512-b3f3-04614259a907,2021-04-19 06:57:10,0101000020E610000078AFFFDF7DE85A4053035120814909C0,1125,8,pixel,snpp,Membalong,Belitung,Kep. Bangka Belitung,2021-04-19 09:42:17.623945,276693
79087231-f848-495a-8503-7de89cd3d079,2021-04-19 06:57:10,0101000020E610000017DEFEBF9E7C5A40200237207C4F05C0,1125,8,pixel,snpp,Simpang Rimba,Bangka Selatan,Kep. Bangka Belitung,2021-04-19 09:42:17.623945,276695
55ebe471-d7a0-4fb2-8a99-2034fb0d94fd,2021-04-19 06:57:10,0101000020E61000006D4000800E7E5A40D85C3D405AC801C0,1125,8,pixel,snpp,Mendo Barat,Bangka,Kep. Bangka Belitung,2021-04-19 09:42:17.623945,276696
63f6a7a4-c471-4d54-8a92-f0a1438ef285,2021-04-19 06:57:10,0101000020E61000007172016023915A408921DEDF45EC05C0,1125,8,pixel,snpp,Air Gegas,Bangka Selatan,Kep. Bangka Belitung,2021-04-19 09:42:17.623945,276694
49825ad1-b230-4c70-8a6a-5be6e908b2eb,2021-04-19 06:57:10,0101000020E61000002D56FDDF8B265A40F53C4DA067B311C0,1125,8,pixel,snpp,Blambangan Umpu,Way Kanan,Lampung,2021-04-19 09:42:17.623945,276692
b3edd60d-1bdc-42d3-976c-fde5c5925c25,2021-04-19 05:53:00,0101000020E6100000030000406E365D40000000E0607E21C0,3000,8,cluster,aqua,Taliwang,Sumbawa Barat,Nusa Tenggara Barat,2021-04-19 12:42:17.577344,3295232
ab509127-69e2-411f-9e23-c4e53f0519b4,2021-04-19 05:53:00,0101000020E6100000FCFFFFFF80125E40000000E0D15A11C0,3414,8,cluster,aqua,Tellusiattinge,Bone,Sulawesi Selatan,2021-04-19 12:42:17.577344,3295233
a3b50bbd-11b0-4c19-8d24-f0aeb861202e,2021-04-19 05:53:00,0101000020E6100000FFFFFF3F03E85C40FFFFFF3FBAFE0CC0,3000,8,cluster,aqua,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 12:42:17.577344,3295234
b4151337-f557-41bb-a278-1324d4360a56,2021-04-19 05:53:00,0101000020E6100000010000C032EF5B40000000401D88D5BF,3000,8,cluster,aqua,Nanga Pinoh,Melawi,Kalimantan Barat,2021-04-19 12:42:17.577344,3295239
6477dda6-a212-42dc-9e90-cb0eee1be535,2021-04-19 05:53:00,0101000020E6100000FDFFFF5F73875C40FFFFFFFF67F2FDBF,3000,8,cluster,aqua,Mantangai,Kapuas,Kalimantan Tengah,2021-04-19 12:42:17.577344,3295238
17c97a3a-ea18-4416-b87c-7ff3b7ef1041,2021-04-19 05:53:00,0101000020E6100000040000005F575C400100000012EC02C0,3000,7,cluster,aqua,Kampiang,Katingan,Kalimantan Tengah,2021-04-19 12:42:17.577344,3295235
b2c991fc-0ab8-4eb5-b5e1-340ff57de782,2021-04-19 05:53:00,0101000020E6100000FFFFFF3F5FA25B40000000409B0C05C0,3000,8,cluster,aqua,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 12:42:17.577344,3295236
f358b5e0-4763-45d3-929a-5af8a7270604,2021-04-19 05:53:00,0101000020E6100000020000B047AC5B4001000020889E04C0,3414,8,cluster,aqua,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 12:42:17.577344,3295237
33cce772-dc70-498b-aaca-561ce7cd45c2,2021-04-19 05:53:00,0101000020E6100000FDFFFF5F41A65B400000006018FBBE3F,3000,8,cluster,aqua,Kapuas,Sanggau,Kalimantan Barat,2021-04-19 12:42:17.577344,3295240
c5509f19-0c55-4ce9-8f39-d8ecb631fe95,2021-04-19 05:53:00,0101000020E6100000030000406E365D40000000E0607E21C0,3000,8,pixel,aqua,Taliwang,Sumbawa Barat,Nusa Tenggara Barat,2021-04-19 12:42:17.833271,276697
b7c03f39-c48e-48ac-aab7-de15b981fba4,2021-04-19 05:53:00,0101000020E6100000FEFFFF7F4E125E40000000E0AF5811C0,3000,8,pixel,aqua,Tellusiattinge,Bone,Sulawesi Selatan,2021-04-19 12:42:17.833271,276698
efaa1ca4-1477-4f5e-bddb-02d9c9e9f71c,2021-04-19 05:53:00,0101000020E610000002000080B3125E40000000E0F35C11C0,3000,8,pixel,aqua,Tellusiattinge,Bone,Sulawesi Selatan,2021-04-19 12:42:17.833271,276699
900b8e59-841c-4f02-8f20-d07a987103cf,2021-04-19 05:53:00,0101000020E6100000FFFFFF3F03E85C40FFFFFF3FBAFE0CC0,3000,8,pixel,aqua,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 12:42:17.833271,276700
97985845-0275-463b-bb3e-c6f3ba601e31,2021-04-19 05:53:00,0101000020E6100000010000C032EF5B40000000401D88D5BF,3000,8,pixel,aqua,Nanga Pinoh,Melawi,Kalimantan Barat,2021-04-19 12:42:17.833271,276706
287f9679-5f7e-4425-bed0-24397ded544b,2021-04-19 05:53:00,0101000020E6100000FDFFFF5F73875C40FFFFFFFF67F2FDBF,3000,8,pixel,aqua,Mantangai,Kapuas,Kalimantan Tengah,2021-04-19 12:42:17.833271,276705
a61022e7-5768-4d12-aef9-919b930d583b,2021-04-19 05:53:00,0101000020E6100000040000005F575C400100000012EC02C0,3000,7,pixel,aqua,Kampiang,Katingan,Kalimantan Tengah,2021-04-19 12:42:17.833271,276701
3ee5ed11-46d6-4c62-8b88-bb7bedbd7797,2021-04-19 05:53:00,0101000020E6100000FFFFFF3F5FA25B40000000409B0C05C0,3000,8,pixel,aqua,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 12:42:17.833271,276702
cc911007-c696-4851-8365-59911461d365,2021-04-19 05:53:00,0101000020E6100000000000A03BAC5B4001000000C79304C0,3000,8,pixel,aqua,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 12:42:17.833271,276703
77fe6b2d-0d25-454d-a11f-c4e01327b708,2021-04-19 05:53:00,0101000020E6100000FDFFFFBF53AC5B400100004049A904C0,3000,9,pixel,aqua,Kendawangan,Ketapang,Kalimantan Barat,2021-04-19 12:42:17.833271,276704
63b0eacf-3980-4d70-b003-58b74fa69676,2021-04-19 05:53:00,0101000020E6100000FDFFFF5F41A65B400000006018FBBE3F,3000,8,pixel,aqua,Kapuas,Sanggau,Kalimantan Barat,2021-04-19 12:42:17.833271,276707
c688fc96-fa02-47ed-a6f0-db1efc710d45,2021-04-19 16:17:39,0101000020E6100000FA67FE7F39295E403B91FD7FDE5624C0,1125,8,cluster,snpp,Pahungalodu,Sumba Timur,Nusa Tenggara Timur,2021-04-19 18:42:18.210085,3295273
98b54f25-d694-41b1-b03d-a17bfafb26fa,2021-04-19 16:17:39,0101000020E610000049F854D5DC995E401F7B2B8097F70EC0,1399,8,cluster,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.210085,3295274
00b973ac-4a70-424c-a5a1-9865ca9adb90,2021-04-19 16:17:39,0101000020E6100000290C04E0A39A5E40AAC9DFFFBF380FC0,1125,8,cluster,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.210085,3295275
7479b317-c927-414c-9eaf-740d662fcac8,2021-04-19 16:17:39,0101000020E6100000FA67FE7F39295E403B91FD7FDE5624C0,1125,8,pixel,snpp,Pahungalodu,Sumba Timur,Nusa Tenggara Timur,2021-04-19 18:42:18.515197,276746
830c0fec-5fd7-4c7e-99e7-7a2b1ed6df7a,2021-04-19 16:17:39,0101000020E6100000E07E0220159A5E40AD678CFFD0F60EC0,1125,8,pixel,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.515197,276747
d86a22b7-5673-4f80-ac3b-f5f406c91daa,2021-04-19 16:17:39,0101000020E6100000FF99FF5FCE995E4011A2A5C03CFB0EC0,1125,8,pixel,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.515197,276749
8dfb662d-2a17-4dbc-bd6c-ce29d2c176c6,2021-04-19 16:17:39,0101000020E6100000F5CFFCFFB2995E40A16750C0B8F40EC0,1125,8,pixel,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.515197,276748
d18debe1-f84c-4056-9189-b08f11e3e2f3,2021-04-19 16:17:39,0101000020E6100000290C04E0A39A5E40AAC9DFFFBF380FC0,1125,8,pixel,snpp,Bondoala,Konawe,Sulawesi Tenggara,2021-04-19 18:42:18.515197,276750
7e6fe26d-0c77-4034-82b5-b665d8f768d0,2021-04-19 17:55:48,0101000020E61000009DC8FE3F4FE85C405D825B9090FD0CC0,1280,8,cluster,snpp,Angsana,Tanahbumbu,Kalimantan Selatan,2021-04-19 19:42:18.314673,3295287
eabb5147-2496-4206-98f9-fefbb649e014,2021-04-19 17:55:48,0101000020E610000065030200B4D75C40E501767F065D0EC0,1125,8,cluster,snpp,Satui,Tanahbumbu,Kalimantan Selatan,2021-04-19 19:42:18.314673,3295288
0b74664a-9e3f-421c-b88d-cd1dd607bdb6,2021-04-19 17:55:48,0101000020E61000006E6704C0DDCE5C401A0F5B1F7B8A07C0,1125,8,cluster,snpp,Lokpaikat,Tapin,Kalimantan Selatan,2021-04-19 19:42:18.314673,3295284
